year,num_dists,num_villages,pvt_boys,State,pvt,not_enrolled,std3_read_std1_all,std3_read_std1_govt,std3_read_std1_pvt,std5_read_std2_govt,std5_read_std2_pvt,std5_read_std2_all,std3_subtract_govt,std3_subtract_pvt,std3_subtract_all,std5_divis_govt,std5_divis_pvt,num_hhs,pvt_girls,std5_divis_all,state_abbr
2006,22,602,0.205,andhrapradesh,0.185,0.042,0.414,0.387,0.518,0.41,0.492,0.422,NA,NA,NA,NA,NA,11519,0.165,NA,AP
2007,22,639,0.332,andhrapradesh,0.293,0.043,0.588,0.543,0.694,0.706,0.742,0.715,0.412,0.609,0.471,0.452,0.514,12923,0.256,0.468,AP
2008,22,647,0.313,andhrapradesh,0.276,0.034,0.531,0.491,0.622,0.576,0.67,0.6,0.393,0.552,0.442,0.335,0.438,13274,0.239,0.361,AP
2009,22,641,0.337,andhrapradesh,0.294,0.062,0.463,0.435,0.519,0.552,0.612,0.567,0.399,0.53,0.443,0.415,0.527,12615,0.253,0.443,AP
2010,22,639,0.413,andhrapradesh,0.361,0.033,0.499,0.408,0.646,0.57,0.667,0.603,0.348,0.585,0.44,0.361,0.489,13159,0.309,0.405,AP
2011,22,649,0.395,andhrapradesh,0.347,0.028,0.543,0.48,0.652,0.57,0.674,0.6,0.394,0.573,0.46,0.353,0.452,13128,0.301,0.382,AP
2012,22,651,0.419,andhrapradesh,0.365,0.026,0.486,0.467,0.515,0.599,0.586,0.595,0.422,0.626,0.504,0.37,0.504,13158,0.312,0.412,AP
2013,21,621,0.39,andhrapradesh,0.34,0.028,0.516,0.433,0.656,0.545,0.668,0.58,0.296,0.523,0.381,0.331,0.458,12542,0.288,0.368,AP
2014,22,651,0.432,andhrapradesh,0.367,0.024,0.462,0.36,0.648,0.559,0.571,0.563,0.295,0.533,0.379,0.351,0.384,13173,0.299,0.362,AP
2006,8,209,0.176,arunachalpradesh,0.157,0.076,0.358,0.304,NA,0.44,NA,0.472,NA,NA,NA,NA,NA,4336,0.136,NA,AR
2007,13,337,0.138,arunachalpradesh,0.129,0.056,0.478,0.444,NA,0.502,NA,0.526,0.61,NA,0.628,0.541,NA,6412,0.118,0.554,AR
2008,11,232,0.192,arunachalpradesh,0.179,0.049,0.458,0.403,NA,0.403,NA,0.47,0.517,NA,0.56,0.404,NA,4733,0.163,0.456,AR
2009,13,329,0.151,arunachalpradesh,0.15,0.045,0.589,0.562,NA,0.606,NA,0.611,0.757,NA,0.768,0.609,NA,6875,0.151,0.619,AR
2010,13,322,0.177,arunachalpradesh,0.167,0.025,0.355,0.321,NA,0.393,NA,0.418,0.382,NA,0.417,0.289,NA,6840,0.155,0.317,AR
2011,13,341,0.174,arunachalpradesh,0.163,0.035,0.479,0.435,NA,0.534,NA,0.547,0.422,NA,0.468,0.389,NA,6615,0.151,0.413,AR
2012,10,251,0.226,arunachalpradesh,0.226,0.031,0.469,0.414,NA,0.521,NA,0.554,0.479,NA,0.526,0.431,NA,4894,0.233,0.467,AR
2016,NA,NA,NA,andhrapradesh,0.342,0.026,0.455,NA,NA,0.524,0.606,0.551,0.388,0.628,0.481,0.357,0.403,NA,NA,0.372,AP
2013,NA,NA,NA,arunachalpradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR
2006,17,472,0.108,assam,0.096,0.044,0.565,0.57,0.514,0.587,0.588,0.587,NA,NA,NA,NA,NA,9546,0.084,NA,AS
2007,23,645,0.11,assam,0.114,0.069,0.493,0.479,0.611,0.53,0.513,0.527,0.406,0.535,0.42,0.281,0.306,12578,0.12,0.284,AS
2008,23,674,0.144,assam,0.134,0.059,0.418,0.389,0.638,0.409,0.598,0.436,0.294,0.479,0.316,0.155,0.35,13612,0.125,0.184,AS
2009,22,632,0.152,assam,0.145,0.043,0.432,0.413,0.559,0.398,0.467,0.41,0.324,0.47,0.343,0.22,0.339,12139,0.135,0.241,AS
2010,23,672,0.156,assam,0.145,0.05,0.451,0.442,0.521,0.426,0.57,0.451,0.291,0.506,0.318,0.226,0.369,13517,0.134,0.251,AS
2011,22,630,0.153,assam,0.145,0.042,0.361,0.339,0.478,0.342,0.48,0.361,0.211,0.372,0.236,0.125,0.246,12697,0.137,0.142,AS
2012,19,563,0.18,assam,0.16,0.044,0.325,0.28,0.521,0.333,0.529,0.364,0.151,0.399,0.198,0.089,0.269,11201,0.139,0.117,AS
2014,9,229,0.263,arunachalpradesh,0.245,0.021,0.297,NA,NA,NA,NA,NA,0.338,NA,0.369,0.356,NA,4928,0.225,0.358,AR
2016,NA,NA,NA,arunachalpradesh,0.295,0.024,0.275,NA,NA,0.167,0.526,0.253,0.222,0.532,0.316,0.117,0.412,NA,NA,0.187,AR
2006,37,1082,0.127,bihar,0.115,0.128,0.543,0.517,0.696,0.643,0.73,0.654,NA,NA,NA,NA,NA,22062,0.101,NA,BR
2007,37,1085,0.082,bihar,0.074,0.065,0.541,0.526,0.714,0.667,0.861,0.681,0.543,0.701,0.555,0.614,0.863,21721,0.062,0.632,BR
2008,35,997,0.093,bihar,0.083,0.057,0.517,0.497,0.734,0.628,0.762,0.639,0.43,0.666,0.449,0.509,0.695,20629,0.069,0.525,BR
2009,37,1065,0.056,bihar,0.05,0.04,0.437,0.423,0.725,0.567,0.782,0.575,0.444,0.716,0.456,0.515,0.726,21839,0.041,0.523,BR
2010,37,1064,0.057,bihar,0.052,0.035,0.449,0.439,0.659,0.579,0.709,0.584,0.435,0.608,0.443,0.51,0.682,21882,0.045,0.517,BR
2011,37,1068,0.069,bihar,0.055,0.03,0.321,0.301,0.729,0.484,0.745,0.496,0.278,0.673,0.297,0.357,0.615,21703,0.039,0.369,BR
2012,37,1095,0.077,bihar,0.064,0.037,0.311,0.28,0.731,0.431,0.748,0.444,0.251,0.684,0.281,0.3,0.606,22086,0.05,0.313,BR
2013,21,616,0.187,assam,0.171,0.038,0.311,0.274,0.505,0.312,0.53,0.349,0.166,0.441,0.21,0.079,0.275,12508,0.155,0.112,AS
2014,23,671,0.193,assam,0.173,0.032,0.336,0.297,0.528,0.306,0.522,0.334,0.156,0.433,0.203,0.09,0.303,13689,0.151,0.118,AS
2006,16,433,0.099,chhattisgarh,0.085,0.073,0.362,0.337,NA,0.526,NA,0.539,NA,NA,NA,NA,NA,8909,0.07,NA,CG
2007,15,435,0.099,chhattisgarh,0.085,0.046,0.31,0.281,NA,0.568,NA,0.58,0.193,NA,0.218,0.311,NA,8429,0.072,0.327,CG
2008,15,434,0.118,chhattisgarh,0.103,0.046,0.696,0.687,NA,0.741,NA,0.748,0.627,NA,0.634,0.595,NA,8983,0.092,0.601,CG
2009,15,441,0.1,chhattisgarh,0.094,0.033,0.525,0.506,NA,0.641,NA,0.648,0.423,NA,0.429,0.507,NA,8477,0.089,0.52,CG
2010,15,448,0.108,chhattisgarh,0.101,0.019,0.446,0.419,NA,0.61,NA,0.616,0.297,NA,0.32,0.378,NA,8913,0.093,0.389,CG
2011,15,446,0.114,chhattisgarh,0.11,0.024,0.299,0.274,NA,0.426,NA,0.437,0.163,NA,0.191,0.173,NA,8855,0.107,0.188,CG
2012,15,445,0.153,chhattisgarh,0.135,0.026,0.376,0.326,NA,0.44,NA,0.462,0.121,NA,0.146,0.131,NA,9011,0.117,0.141,CG
2016,NA,NA,NA,assam,0.22,0.031,0.383,NA,NA,0.323,0.611,0.379,0.198,0.5,0.266,0.091,0.329,NA,NA,0.137,AS
