State,state_abbr,District,year,std12_letters_and_up,std12_numbers_and_up,std35_std1_and_up,std35_subtraction_and_up,private_6_14,out_of_school_6_14,in_school_3_4
Andhra Pradesh,AP,Adilabad,2006,87.8,65.1,51.2,60.2,22.8,5.5,80.1
Andhra Pradesh,AP,Nizamabad,2006,83.6,79.2,75,77.2,13.8,0.5,89.9
Andhra Pradesh,AP,Karimnagar,2006,91.7,81.8,79.5,77.4,44.6,0.4,91.2
Andhra Pradesh,AP,Medak,2006,66.3,53.3,60.4,50.5,25.7,3.4,88.7
Andhra Pradesh,AP,Rangareddy,2006,94.2,90.9,67.8,79.6,26.5,6.7,95.6
Andhra Pradesh,AP,Mahbubnagar,2006,82.5,59.4,52.5,64.2,21.9,4.6,87.7
Andhra Pradesh,AP,Nalgonda,2006,92.6,86.5,74.7,83.3,23.1,3.5,89.7
Andhra Pradesh,AP,Warangal,2006,76,67.9,57.5,68.7,26.9,2,80.4
Andhra Pradesh,AP,Khammam,2006,87.4,77.6,59.4,70.8,12.8,7.9,85.9
Andhra Pradesh,AP,Srikakulam,2006,87.3,76.7,66.4,77.5,18.8,3.5,84.9
Andhra Pradesh,AP,Vizianagaram,2006,95.7,87.8,68.4,63.5,8.6,6.3,90.6
Andhra Pradesh,AP,Visakhatnam,2006,91.3,82,67,79.6,17.2,3.3,90.1
Andhra Pradesh,AP,West Godavari,2006,82.5,80.3,37,64.1,9.3,8.3,87.8
Andhra Pradesh,AP,Krishna,2006,94.4,90.1,74.8,78,23.9,2.3,78.4
Andhra Pradesh,AP,Guntur,2006,97.1,97.6,56,77,6.6,8.2,95.6
Andhra Pradesh,AP,Nellore,2006,95.8,88,74.6,86.4,18.5,2.5,98.4
Andhra Pradesh,AP,Cuddapah,2006,94.6,93.8,61.9,74.5,29.9,4.1,85
Andhra Pradesh,AP,Kurnool,2006,93.8,91.8,80.7,84.9,16.4,7.5,95.5
Andhra Pradesh,AP,Anantapur,2006,81.6,75.8,55.4,66.4,14.4,4.5,82.6
Assam,AS,Kokrajhar,2006,66.7,24.5,22.2,29.7,5.4,16.3,55.3
Assam,AS,Dhubri,2006,66.1,65.6,72.9,77.1,8.8,2.2,93.3
Assam,AS,Goalpara,2006,78.6,67.9,65.7,64.4,5.6,4,92.8
Assam,AS,Bongaigaon,2006,81.3,72.1,75.5,81.7,11.4,2.3,75.9
Assam,AS,Barpeta,2006,26.3,26.3,65.5,67.2,8.7,2.9,80.4
Assam,AS,Kamrup,2006,78.9,54.9,55.9,55.6,5.4,3.2,82.6
Assam,AS,Nalbari,2006,78.7,56.1,39.8,61.7,16.7,4.5,80.1
Assam,AS,Darrang,2006,99.2,98.8,86.9,90.7,6.4,0.8,96.7
Assam,AS,Marigaon,2006,71.4,56.8,66,69.3,1.9,6.7,84.2
Assam,AS,Nagaon,2006,67.6,56.9,74.9,71.4,9.5,5.2,73.9
Assam,AS,Sonitpur,2006,21.2,24.2,52.4,55.3,7.6,3,90.9
Assam,AS,Lakhimpur,2006,57.9,58.4,72.5,73.7,12,3.8,79.8
Assam,AS,Dhemaji,2006,88.9,67.5,82.8,76.7,6.3,5,94.6
Assam,AS,Dibrugarh,2006,92.2,76.6,71.6,68.1,19.9,9.7,82.3
Assam,AS,Jorhat,2006,91,89.2,79.7,83.5,16.4,3,95
Assam,AS,Golaghat,2006,82.2,72.1,62.9,66.3,14.6,5.5,67.2
Bihar,BR,Pashchimi Champaran,2006,58.8,39.3,70.4,63.6,16,15.7,47.5
Bihar,BR,Purbi Champaran,2006,71,57.8,67.7,69.9,15.8,5.7,80.1
Bihar,BR,Sheohar,2006,85.9,77.3,80,82.3,5.3,30.1,38.4
Bihar,BR,Sitamarhi,2006,65.8,37,63.1,61.6,10.3,17.1,38.8
Bihar,BR,Madhubani,2006,55.4,36.5,70.8,69,7.2,14.9,45.8
Bihar,BR,Araria,2006,72.3,47.3,61.3,57,7.4,28.1,55.4
Bihar,BR,Kishanganj,2006,66.5,55.6,70.7,71.4,7.8,24.7,40.4
Bihar,BR,Purnia,2006,87.1,75.8,79.9,83.7,2.6,16.3,62.8
Bihar,BR,Katihar,2006,92.5,79.8,77.8,79.8,5.3,18.7,48.8
Bihar,BR,Saharsa,2006,70.9,58.5,71.1,77.8,10.3,14.6,60.3
Bihar,BR,Darbhanga,2006,68.4,56.5,61.9,64.4,7.7,22.4,51.5
Bihar,BR,Muzaffarpur,2006,68.3,56.7,71.4,70.5,11.2,9.6,56.1
Bihar,BR,Gopalganj,2006,73.9,64.8,79.7,82.5,16.3,4.9,94.8
Bihar,BR,Siwan,2006,75.1,62.1,65.2,70.3,24.2,5.5,66
Bihar,BR,Saran,2006,74.5,59.5,69.5,72.8,10.7,11,54.5
Bihar,BR,Vaishali,2006,73.2,64.4,61,68.1,13.1,9.8,43.6
Bihar,BR,Samastipur,2006,67.9,56.4,74.6,73.7,8,10.6,47
Bihar,BR,Begusarai,2006,69.5,55.6,82.7,83.8,14.6,9.4,52.3
Bihar,BR,Khagaria,2006,82.5,66.1,84.1,84.5,10.2,12,44.5
Bihar,BR,Bhagalpur,2006,64.8,46.3,64.5,67.8,18.6,10.3,64.8
Bihar,BR,Banka,2006,51.3,34.6,56.7,62.7,15,13.3,47.4
Bihar,BR,Munger,2006,79.6,66.7,78.1,86.5,19.6,11.2,68.7
Bihar,BR,Lakhisarai,2006,71.7,53.6,73.9,75.4,11.9,12.1,73.3
Bihar,BR,Sheikhpura,2006,66.7,58.4,74.5,77,9.5,11.7,71.5
Bihar,BR,Nalanda,2006,65.5,51.5,66.8,66.8,10,16.6,61.5
Bihar,BR,Patna,2006,69,61.8,81.9,84.4,17,6.3,69.4
Bihar,BR,Bhojpur,2006,78.4,67.7,65.2,73,8.2,12.2,73.3
Bihar,BR,Buxar,2006,78.4,63.9,70.6,73.3,12.1,6.8,74.3
Bihar,BR,Rohtas,2006,74.7,60,69.1,66.5,16.7,6.1,78.4
Bihar,BR,Jehanabad,2006,46.8,35.4,63.1,63.9,10.2,8,61.4
Bihar,BR,Aurangabad,2006,71.1,59.6,69.9,71.8,3.7,9.3,96.1
Bihar,BR,Gaya,2006,73.8,65.4,73.7,75,7,12.3,43.9
Bihar,BR,Nawada,2006,72.7,67.2,78.3,78.5,16.9,14.9,54.4
Bihar,BR,Jamui,2006,73.3,55.9,68.5,72.1,12.5,12,61
Chattisgarh,CG,Koriya,2006,48.2,35,76.6,67.1,2.9,9.4,96.3
Chattisgarh,CG,Surguja,2006,68.5,53,82.8,64,11.5,10.2,94.2
Chattisgarh,CG,Jashpur,2006,81.8,54.8,60.9,52.4,23,7.3,82.6
Chattisgarh,CG,Raigarh,2006,72,47.7,42.6,36.4,14.1,5.3,59.3
Chattisgarh,CG,Korba,2006,87.5,55.2,46.7,35.2,2.1,7.1,51.4
Chattisgarh,CG,Bilaspur,2006,92.4,75.8,65.2,60,12.7,11.4,67.5
Chattisgarh,CG,Kawardha,2006,56.8,45.2,54.1,53.7,10.4,6.6,60.6
Chattisgarh,CG,Rajnandgaon,2006,90.8,60.2,65.1,57.7,4,2.5,95.1
Chattisgarh,CG,Durg,2006,84.9,79.6,60.8,56.2,5.7,3.8,61.4
Chattisgarh,CG,Raipur,2006,77.7,47,56.6,38.2,7.8,2.7,60.7
Chattisgarh,CG,Mahasamund,2006,39,45.2,62.4,82.5,5.1,2.1,85
Chattisgarh,CG,Dhamtari,2006,99.6,98.4,95.9,94.7,8.5,5.9,58.2
Chattisgarh,CG,Kanker,2006,80.4,77,62.4,80.8,1.9,6,89
Chattisgarh,CG,Bastar,2006,88,79,59.9,83,1.5,18.6,100
Goa,Goa,South Goa,2006,97.2,87.9,84.5,83.9,48,0.5,95.8
Gujarat,GJ,Kachchh,2006,54.9,36.1,58.1,44.3,3.8,11.3,80.5
Gujarat,GJ,Banas Kantha,2006,67.3,49.2,46.6,47.5,0.2,16.4,90.5
Gujarat,GJ,Patan,2006,98.4,93.1,92.4,91,10.5,4.1,87.2
Gujarat,GJ,Mehsana,2006,85.2,58.8,75,75,3,1.8,78.9
Gujarat,GJ,Sabar Kantha ,2006,88.3,77,83.9,76.9,11.7,4.3,95.6
Gujarat,GJ,Gandhinagar,2006,92.8,88.3,77.8,74.1,1.9,0.7,96.8
Gujarat,GJ,Ahmedabad,2006,57.3,51.3,34.9,34.4,6.6,7.4,63.8
Gujarat,GJ,Surendranagar,2006,73,53.6,58.8,57.3,1.1,8.7,84
Gujarat,GJ,Rajkot,2006,78.5,63.7,63.8,54.3,11.1,4.4,79.1
Gujarat,GJ,Jamnagar,2006,77.3,64.8,71.9,71.4,11.2,2.9,76
Gujarat,GJ,Porbandar,2006,82.4,62,67,66.9,0.9,3.6,99.6
Gujarat,GJ,Amreli,2006,94.6,92.9,80.9,75.3,4.5,0.7,94
Gujarat,GJ,Bhavnagar,2006,63.7,39.3,59.3,42.1,6.2,7,75.6
Gujarat,GJ,Kheda,2006,81.6,69.1,71,81.3,6.5,4.3,90.3
Gujarat,GJ,Panch Mahals,2006,86.6,50,70.8,67.6,0.3,4.2,93.3
Gujarat,GJ,Dohad,2006,95.3,84.3,74.5,73.4,1.9,8,92
Gujarat,GJ,Vadodara,2006,78.6,62.8,62.2,55.5,0.6,3.2,98.5
Gujarat,GJ,Narmada,2006,87.2,82.1,79.4,81.6,0.8,0.7,95.8
Gujarat,GJ,The Dangs,2006,85.3,75.1,72.6,72.1,3.4,9.7,81.5
Gujarat,GJ,Navsari,2006,83.8,74.4,77.9,69.7,1.6,1.2,80.4
Gujarat,GJ,Valsad,2006,83.9,73.4,64.1,62.2,6.9,3,82.7
Haryana,HR,Ambala,2006,99.4,91.3,77.6,77.2,42.4,1,88.8
Haryana,HR,Fatehabad,2006,63.2,45.5,71.4,63.5,34.7,8,87.1
Haryana,HR,Hisar,2006,86.7,77,89.9,86.6,41,5,93
Haryana,HR,Jind,2006,88.4,78.6,90.5,88.6,43.4,2.7,90
Haryana,HR,Kaithal,2006,82.1,71.5,76.8,78.5,44.7,2.5,77.7
Haryana,HR,Karnal,2006,78,61.5,79.3,79.3,60.2,1.5,87.8
Haryana,HR,Kurukshetra,2006,79.2,66,79.4,72.8,45.4,2,80.3
Haryana,HR,Mahendragarh,2006,77.8,63.7,77,76.6,51.3,1,80.6
Haryana,HR,Panchkula,2006,93.1,85.1,79.6,82.4,32.8,1.7,90.8
Haryana,HR,Rewari,2006,92.8,86.4,81.5,85.4,53,0.8,89.1
Haryana,HR,Sonipat,2006,87.6,65.9,82.8,83.8,46.7,1.4,92.7
Haryana,HR,Yamunanagar,2006,79.3,64.2,78,72.1,26.4,6.5,74.7
Haryana,HR,Mewat,2006,39.5,28.1,62.1,57.7,14.9,24.1,40.3
